article_id,title,description,content,published_at,language,url,keywords,categories,creator,source_id,source_name,ingestion_source,bronze_hash
http://9to5google.com/2026/02/03/samsung-confident-galaxy-z-fold-8-will-sell-better-than-flip/,Samsung is confident the Galaxy Z Fold 8 will sell better than its smaller counterpart,"Insider reports indicate that Samsung is prioritizing development on Galaxy Z Fold 8 and other larger form factors over the smaller Galaxy Z Flip, planning to produce more of the former than in previous years.



 more…","Insider reports indicate that Samsung is prioritizing development on Galaxy Z Fold 8 and other larger form factors over the smaller Galaxy Z Flip, planning to produce more of the former than in previ… [+1668 chars]",2026-02-03T20:44:18.000+05:30,,http://9to5google.com/2026/02/03/samsung-confident-galaxy-z-fold-8-will-sell-better-than-flip/,"","",Andrew Romero,,9to5google.com,newsapi,-2211782981993707329
http://blog.livedoor.jp/itsoku/archives/62982777.html,【正論】大石あきこ「NHKよ、党首討論の切り抜き動画を削除申請するなんて恥を知れ！」,1:少考さん ★  2026/02/03(火) 14:21:11.49 ID:oFIaHOh49 れいわ新選組の大石晃子（あきこ）共同代表が3日、自身のX（旧ツイッター）を更新。NHKに苦言を呈した。    高市早苗首相は1日放送の同局「日曜討論」を欠席。高市氏不在、代役の田村憲久氏を交えて論戦を展開した,"1: 2026/02/03() 14:21:11.49 ID:oFIaHOh49
3XNHK 
1X 
NHK 
() 
https://www.nikkansports.com/general/nikkan/news/202602030000443.html
NHK@nhk
— 5 (@oishiakiko) February 3, 2026
2: 2026/02/03() 1… [+1306 chars]",2026-02-03T19:10:17.000+05:30,,http://blog.livedoor.jp/itsoku/archives/62982777.html,"","",itsoku,,Livedoor.jp,newsapi,-4519689546209494525
http://blog.livedoor.jp/itsoku/archives/62986580.html,【正論】東出昌大「クマからしたら人間は物凄い殺人鬼。だいぶ怖い存在」,1:少考さん ★  2026/02/04(水) 23:33:18.60 ID:FRBpSy069 東出昌大、クマ目線で見れば…「人間は物凄い殺人鬼。だいぶ怖い存在だと思う」 https://www.sponichi.co.jp/entertainment/news/2026/02/04/articles/20260204s00041000366000c.html,"1: 2026/02/04() 23:33:18.60 ID:FRBpSy069
https://www.sponichi.co.jp/entertainment/news/2026/02/04/articles/20260204s00041000366000c.html
2: 2026/02/04() 23:34:16.85 ID:RM93GaFR0
4: 2026/02/04() 23… [+1946 chars]",2026-02-05T09:40:02.000+05:30,,http://blog.livedoor.jp/itsoku/archives/62986580.html,"","",itsoku,,Livedoor.jp,newsapi,5151717742550277376
http://blog.livedoor.jp/itsoku/archives/62993707.html,【悲報】英紙「日本人は政策でなくイメージで勝つ。具体例は話すな。ハキハキと答えろ」,"1:ソリブジン(秋田県) [US] 2026/02/07(土) 16:21:43.59 ID:COVfytJT0● BE:194767121-PLT(13001)
明日2月8日に迫った衆議院選挙の投開票。海外メディアでも日本の選挙は取り上げられているが、なかでも英紙「タイムズ」は辛辣なタイトルで記事を掲載している。「選挙に勝...","1:() [US] 2026/02/07() 16:21:43.59 ID:COVfytJT0 BE:194767121-PLT(13001)
28
https://news.yahoo.co.jp/articles/a65a148855c3a173dfb6f695ff005feb1459d9a1
2:() [US] 2026/02/07() 16:24:22.84 ID:lTHYCXXE… [+2499 chars]",2026-02-08T05:40:06.000+05:30,,http://blog.livedoor.jp/itsoku/archives/62993707.html,"","",itsoku,,Livedoor.jp,newsapi,8810702100873403668
http://blog.livedoor.jp/nanjstu/archives/62982440.html,“初代Switch”の世界累計販売台数は１億5537万台　“DS”を抜いて任天堂の歴代ハードで１位に,転載元: https://hayabusa9.5ch.net/test/read.cgi/mnewsplus/1770106010/1: 征夷大将軍 ★  2026/02/03(火) 17:06:50.79 ID:eNr8nAXB9 FNN  https://www.fnn.jp/articles/-/996585  2026年2月3日 火曜 午後3:30    京都府に本社がある大手ゲームメーカー・任天堂が2017年に,": https://hayabusa9.5ch.net/test/read.cgi/mnewsplus/1770106010/
1: 2026/02/03() 17:06:50.79 ID:eNr8nAXB9
 FNN https://www.fnn.jp/articles/-/996585202623 3:30 2017Nintendo Switch 
20045402125537 
… [+1479 chars]",2026-02-03T15:08:36.000+05:30,,http://blog.livedoor.jp/nanjstu/archives/62982440.html,"","",nanjstu,,Livedoor.jp,newsapi,5214410099647352466
http://blog.livedoor.jp/nanjstu/archives/62982890.html,川崎宗則、チュニドラに合流,転載元: https://nova.5ch.net/test/read.cgi/livegalileo/1770124160/1: それでも動く名無し  2026/02/03(火) 22:09:20.14 ID:XSn2zxf40  えぇ…    川崎宗則・臨時コーチ兼選手、中日キャンプに合流  https://news.yahoo.co.jp/articles/79102643c501b070e7726314945718d1c,": https://nova.5ch.net/test/read.cgi/livegalileo/1770124160/
1: 2026/02/03() 22:09:20.14 ID:XSn2zxf40
https://news.yahoo.co.jp/articles/79102643c501b070e7726314945718d1cbf40413
2: 2026/02/03() 22:… [+585 chars]",2026-02-03T18:55:16.000+05:30,,http://blog.livedoor.jp/nanjstu/archives/62982890.html,"","",nanjstu,,Livedoor.jp,newsapi,-1662009726119669043
http://blog.livedoor.jp/nanjstu/archives/62985100.html,【朗報】スペースX、評価額1兆2500億ドルでまもなく上場,"転載元: https://nova.5ch.net/test/read.cgi/livegalileo/1770196091/Jenny Hautmann - 投稿者自身による著作物, CC 表示-継承 4.0, https://commons.wikimedia.org/w/index.php?curid=138411216による1: それでも動く名無し 2026/02/04(水) 18:08:11.73 ID:jT4CdLUp0
 　...",": https://nova.5ch.net/test/read.cgi/livegalileo/1770196091/
Jenny Hautmann - , CC - 4.0, https://commons.wikimedia.org/w/index.php?curid=1384112161: 2026/02/04() 18:08:11.73 ID:jT4CdLUp0
https://f… [+1082 chars]",2026-02-04T17:40:59.000+05:30,,http://blog.livedoor.jp/nanjstu/archives/62985100.html,"","",nanjstu,,Livedoor.jp,newsapi,-4789723064650263536
http://blog.livedoor.jp/nanjstu/archives/62993926.html,【訃報】テレンス・ゴア元外野手が34歳で急死　盗塁スペシャリストでロイヤルズとドジャースで世界一に,転載元: https://hayabusa9.5ch.net/test/read.cgi/mnewsplus/1770513512/1: 征夷大将軍 ★  2026/02/08(日) 10:18:32.31 ID:wVyv1zty9 日刊スポーツ  [2026年2月8日9時2分]  https://www.nikkansports.com/baseball/mlb/news/202602080000329.html    2015年ロイヤルズのワ,": https://hayabusa9.5ch.net/test/read.cgi/mnewsplus/1770513512/
1: 2026/02/08() 10:18:32.31 ID:wVyv1zty9
1000 2014/11/30() 00:00:00WS7
 WBC
5: 2026/02/08() 10:21:56.47 ID:dANbDcaE0
6: 2026/02/08… [+444 chars]",2026-02-08T08:16:39.000+05:30,,http://blog.livedoor.jp/nanjstu/archives/62993926.html,"","",nanjstu,,Livedoor.jp,newsapi,5365912117241550874
574899019c681c5ee20504bdaeabd671,Spanjë/ Vihet në pranga shqiptari i shpallur në kërkim prej më shumë se 20 vitesh,"Një shtetas shqiptar, i arratisur që nga viti 2004 dhe i kërkuar për trafik droge dhe mbajtje të paligjshme armësh, u arrestua në Spanjë falë një operacioni ndërkombëtar të koordinuar mes Karabinierëve të Fermos dhe policisë......",ONLY AVAILABLE IN PAID PLANS,2026-02-08T12:00:48.000+05:30,albanian,http://botasot.info/diaspora/2445087/spanje-vihet-ne-pranga-shqiptari-i-shpallur-ne-kerkim-prej-me-shume-se-20-vitesh/,diaspora,lifestyle,"",botasot,Bota Sot,newsdata,-1327773496837200455
4f4948d7aad6277117826e5e8ca59268,Vendos për Bekajn,"Derbi i kryeqytetit rikthehet në “Selman Stërmasi”. Tirana dhe Dinamo do të përballen prej orës 13:00, ndërsa është edhe sfida që mbyll javën e 23-të të Superiores.Nuhiju ka surprizuar te Tirana, pasi nuk ka preferuar Taren në......",ONLY AVAILABLE IN PAID PLANS,2026-02-07T12:02:34.000+05:30,albanian,http://botasot.info/futboll-sporti/2444678/vendos-per-bekajn/,futboll,sports,"",botasot,Bota Sot,newsdata,-3375627220679272101
cc89c1e8c49e1f31e21321c61e1f4ed1,Vonn ende beson,"Ylli amerikan i skive alpine, Lindsey Vonn, ka deklaruar se beson fuqishëm se do të jetë në gjendje të garojë në Lojërat Olimpike Dimërore Milano–Cortina, pavarësisht se pësoi një dëmtim serioz në gju gjatë garës së......",ONLY AVAILABLE IN PAID PLANS,2026-02-03T18:41:47.000+05:30,albanian,http://botasot.info/skijim-sporti/2443264/vonn-ende-beson/,skijim,sports,"",botasot,Bota Sot,newsdata,-8607132183944690068
http://chicagoreader.com/music/gossip-wolf/ratboys-bolo-joe-beverly-phono-bpm-express-cue-shop-anything-moves-gauntlets/,Ratboys make you a sandwich,"One of the biggest Chicago indie-rock records of the year arrives this Friday, February 6: Singin’ to an Empty Chair by hardworking four-piece Ratboys. Their previous album, 2023’s The Window, was so terrific that it’s hard to imagine anybody topping it, but …","Ratboys with the Ratboy sandwich, aka the Bolo Joe: from left, guitarist Dave Sagan, guitarist-vocalist Julia Steiner, bassist Sean Neumann, and drummer Marcus Nuccio Credit: Courtesy the artist
One… [+5627 chars]",2026-02-03T22:59:05.000+05:30,,http://chicagoreader.com/music/gossip-wolf/ratboys-bolo-joe-beverly-phono-bpm-express-cue-shop-anything-moves-gauntlets/,"","",Leor Galil,,Chicago Reader,newsapi,-5703289808835871455
http://chicagoreader.com/news/housing-homeless-encampments-clearing-eviction/,Chicago housing workers call the city’s encampment closures ‘unconscionable’,"This story launches a new accountability series, Just Neighbors, examining the city’s homeless encampment sweeps and focusing on the human impact of a fragmented, interdepartmental process. At their request, the unhoused people who spoke to the Reader for thi…","This story launches a new accountability series, Just Neighbors, examining the citys homeless encampment sweeps and focusing on the human impact of a fragmented, interdepartmental process. At their r… [+22746 chars]",2026-02-04T04:42:36.000+05:30,,http://chicagoreader.com/news/housing-homeless-encampments-clearing-eviction/,"","",Katie Prout,,Chicago Reader,newsapi,-7760021507139866472
http://comicbook.com/anime/news/acclaimed-action-series-confirms-disappointing-news-as-fans-await-season-6/,Acclaimed Action Series Confirms Disappointing News As Fans Await Season 6,"Image Courtesy of Studio Bones

Bungo Stray Dogs is one of the most acclaimed supernatural action shows over the past decade. The manga, written by Kafka Asagiri and illustrated by Sango Harukawa, began serializing in 2012 in Kadokawa Shoten’s Young Ace magaz…","Bungo Stray Dogs is one of the most acclaimed supernatural action shows over the past decade. The manga, written by Kafka Asagiri and illustrated by Sango Harukawa, began serializing in 2012 in Kadok… [+2883 chars]",2026-02-04T01:15:00.000+05:30,,http://comicbook.com/anime/news/acclaimed-action-series-confirms-disappointing-news-as-fans-await-season-6/,"","",Tulisha Srivastava,,ComicBook.com,newsapi,-372379775945553454
http://comicbook.com/movies/news/fans-will-have-to-wait-a-little-longer-for-the-dcus-batman-spinoff-but-the-delay-is-actually-perfect/,Fans Will Have to Wait a Little Longer for the DCU’s Batman Spinoff (But The Delay Is Actually Perfect),"The upcoming DCU movie slate holds immense potential, and several aspects of it revolve around the Dark Knight, which is an area of the DC Universe that James Gunn and Peter Safran are taking their time getting right. Unfortunately, the latest news on one of …","The upcoming DCU movie slate holds immense potential, and several aspects of it revolve around the Dark Knight, which is an area of the DC Universe that James Gunn and Peter Safran are taking their t… [+2417 chars]",2026-02-07T07:00:44.000+05:30,,http://comicbook.com/movies/news/fans-will-have-to-wait-a-little-longer-for-the-dcus-batman-spinoff-but-the-delay-is-actually-perfect/,"","",Matthew Aguilar,,ComicBook.com,newsapi,8369076350350900659
http://comicbook.com/tv-shows/news/the-last-of-us-confirms-two-new-stars-for-season-3-including-one-mcu-actor-replacing-another/,"The Last of Us Confirms Two New Stars for Season 3, Including One MCU Actor Replacing Another","HBO’s The Last of Us is gearing up for Season 3, and the show has now landed 2 more cast members – one a new addition, and the other a replacement for an actor who had to exit the show after Season 2. The wild thing about it? The actor who exited the show was…","HBO’s The Last of Us is gearing up for Season 3, and the show has now landed 2 more cast members one a new addition, and the other a replacement for an actor who had to exit the show after Season 2. … [+2716 chars]",2026-02-04T20:19:00.000+05:30,,http://comicbook.com/tv-shows/news/the-last-of-us-confirms-two-new-stars-for-season-3-including-one-mcu-actor-replacing-another/,"","",Kofi Outlaw,,ComicBook.com,newsapi,-6521311872856033663
http://commercialobserver.com/2026/02/malibu-condos-bh3-housing-california-conversion/,New Malibu Condos Hit Market for First Time in Decades,"New housing in Malibu is among the rarest real estate developments, yet a Florida-based investment firm has come to show Southern California how it’s done.  A 68-unit condominium community in the uber-wealthy coastal enclave, dubbed Privé Malibu, has begun li…","New housing in Malibu is among the rarest real estate developments, yet a Florida-based investment firmhas come to show Southern California how its done. 
A 68-unit condominium community in the uber… [+2244 chars]",2026-02-05T04:30:20.000+05:30,,http://commercialobserver.com/2026/02/malibu-condos-bh3-housing-california-conversion/,"","",Nick Trombola,,Commercial Observer,newsapi,-2260419863201125799
http://commercialobserver.com/2026/02/tishman-speyer-rob-speyer-2026/,Tishman Speyer CEO Rob Speyer On the Firm’s Current Thinking and Its Next Moves,"When they write the real estate history of this era, a notable turning point will be late 2024. Rockefeller Center — Art Deco masterpiece; home of NBC and the Rainbow Room; bull’s-eye between Uptown, Downtown, the East Side and the West — scored a big, big co…","When they write the real estate history of this era, a notable turning point will be late 2024.
Rockefeller Center Art Deco masterpiece; home of NBC and the Rainbow Room; bulls-eye between Uptown, D… [+18531 chars]",2026-02-03T19:30:22.000+05:30,,http://commercialobserver.com/2026/02/tishman-speyer-rob-speyer-2026/,"","",Mgross170,,Commercial Observer,newsapi,-7998972608995371332
560a4bd3e62b6fa6d46fe6a1b6836e9e,নির্বাচনকে ঘিরে কুমিল্লাসহ ৬ জেলায় সেনাবাহিনীর বিশেষ মহড়া,"আসন্ন ত্রয়োদশ জাতীয় সংসদ নির্বাচন ও গণভোট উপলক্ষে আইন-শৃঙ্খলা পরিস্থিতি স্থিতিশীল এবং অবাধ, সুষ্ঠু ও নিরপেক্ষ নির্বাচনী পরিবেশ নিশ্চিতে ব্যাপক প্রস্তুতি নিয়েছে বাংলাদেশ সেনাবাহিনী।",ONLY AVAILABLE IN PAID PLANS,2026-02-08T12:02:54.000+05:30,bengali,http://dailynayadiganta.com/bangladesh/country-news/zSKiRcCMI2xh/,"","top,lifestyle",দৈনিক নয়া দিগন্ত,dailynayadiganta,Daily Nayadiganta | দৈনিক নয়া দিগন্ত,newsdata,-8700832877585822275
c55eb1bc11327cdd6cc2ea7e8c41c1f5,ভোটকেন্দ্র ও ভোটার তথ্য জানা যাবে যে ৪ পদ্ধতিতে,"গণভোট ও ত্রয়োদশ জাতীয় সংসদ নির্বাচনে ভোটাররা যাতে সহজে তাদের ভোটকেন্দ্র ও ভোটার নম্বর জানতে পারেন, সেজন্য চারটি সহজ পদ্ধতি চালু করেছে নির্বাচন কমিশন (ইসি)। এসব পদ্ধতির মাধ্যমে ভোটাররা দ্রুত ও নির্ভুলভাবে তাদের কাঙ্ক্ষিত তথ্য জানতে পারবেন।",ONLY AVAILABLE IN PAID PLANS,2026-02-07T12:02:55.000+05:30,bengali,http://dailynayadiganta.com/bangladesh/national/FNjz4wLG6eXo/,"","top,lifestyle",দৈনিক নয়া দিগন্ত,dailynayadiganta,Daily Nayadiganta | দৈনিক নয়া দিগন্ত,newsdata,-5244356015070682260
